zrxusd,zecusd,vetusd,bsvusd,xmrusd,xlmusd,xtzusd,btcusd,daiusd,bttusd,trxusd,adausd,ethusd,etcusd,batusd,mkrusd,xrpusd,neousd,dgbusd,eosusd,omgusd,ltcusd,leousd
0,4,5,5,3402,1759,4,2375,10,-73,-2423,-282,-315,-1148,2668,1,-2115,-115,-2406,-64,2375,-2277,2672
-4,0,0,0,0,-280,-1,-5986,-4537,-77,-5797,-59,-5577,-4640,-1,-1832,-5928,-120,-2416,-22,-5986,-5876,-84
-5,0,0,0,0,-1,-1,-119,-4546,-58,0,0,-1697,-33,-1,-1776,-589,-120,-1858,-7,-119,-1618,-12
-5,0,0,0,0,-1,-1,-478,-10,487,0,-68,-1387,530,-1,55,0,-120,2,2819,-478,0,-12
-3402,0,0,0,0,-1318,1682,-807,-3104,198,-5563,-11,-147,-4304,-5611,-2713,-5653,-111,-2656,-460,-807,-5526,-317
-1759,280,1,1,1318,0,0,-95,-1615,916,-4,497,1205,-3726,0,-1671,-573,-10,-1511,270,-95,-340,-2
-4,1,1,1,-1682,0,0,-6399,1,-77,-2,-285,-1795,-4647,0,-1,-6083,-119,0,-6,-6399,-6340,1
-2375,5986,119,478,807,95,6399,0,4,5918,1,5995,-627,1162,43,2958,116,0,3345,5532,0,25,87
-10,4537,4546,10,3104,1615,-1,-4,0,4461,-1530,4496,-1066,255,14,239,300,4418,296,2564,-4,-835,4478
73,77,58,-487,-198,-916,77,-5918,-4461,0,-5918,48,-5918,-4756,-5834,-1875,-5918,-62,-2570,-316,-5918,-5918,-382
2423,5797,0,0,5563,4,2,-1,1530,5918,0,5958,3670,1162,-1,3711,4,3,1123,3388,-1,0,3
282,59,0,68,11,-497,285,-5995,-4496,-48,-5958,0,-1674,-4245,-331,-1742,-5933,-111,-2244,-3,-5995,-5371,-215
315,5577,1697,1387,147,-1205,1795,627,1066,5918,-3670,1674,0,1219,1126,35,1676,1563,-2423,3623,627,0,1267
1148,4640,33,-530,4304,3726,4647,-1162,-255,4756,-1162,4245,-1219,0,-1162,-440,-1162,3950,-329,1891,-1162,-1162,-1162
-2668,1,1,1,5611,0,0,-43,-14,5834,1,331,-1126,1162,0,-1755,0,-2,3187,5571,-43,0,-2
-1,1832,1776,-55,2713,1671,1,-2958,-239,1875,-3711,1742,-35,440,1755,0,-189,1774,1,2148,-2958,32,1731
2115,5928,589,0,5653,573,6083,-116,-300,5918,-4,5933,-1676,1162,0,189,0,-2,-41,5533,-116,0,-2
115,120,120,120,111,10,119,0,-4418,62,-3,111,-1563,-3950,2,-1774,2,0,-1880,104,0,0,0
2406,2416,1858,-2,2656,1511,0,-3345,-296,2570,-1123,2244,2423,329,-3187,-1,41,1880,0,2228,-3345,-3178,2016
64,22,7,-2819,460,-270,6,-5532,-2564,316,-3388,3,-3623,-1891,-5571,-2148,-5533,-104,-2228,0,-5532,-3298,-5
-2375,5986,119,478,807,95,6399,0,4,5918,1,5995,-627,1162,43,2958,116,0,3345,5532,0,25,87
2277,5876,1618,0,5526,340,6340,-25,835,5918,0,5371,0,1162,0,-32,0,0,3178,3298,-25,0,-2
-2672,84,12,12,317,2,-1,-87,-4478,382,-3,215,-1267,1162,2,-1731,2,0,-2016,5,-87,2,0
